timestamp,angle,curLapTime,damage,distFromStart,distRaced,fuel,gear,lastLapTime,racePos,rpm,speedX,speedY,speedZ,trackPos,z
1743096928.2811594,0.00812977,0.32,0,2032.56,-0.000244141,94,1,0,1,942.478,-0.00951165,0.0514565,-0.000630164,0.334194,0.345531
1743096928.2968433,0.00806874,0.34,0,2032.56,-0.000366211,94,1,0,1,942.478,-0.00965488,0.0488939,-0.000602525,0.334233,0.345525
1743096928.3178358,0.00800579,0.36,0,2032.56,-0.000366211,94,1,0,1,942.478,-0.00951662,0.0512542,-0.000628023,0.334271,0.345519
1743096928.337948,0.00794476,0.38,0,2032.56,-0.000366211,94,1,0,1,942.478,-0.00980264,0.0485564,-0.000629757,0.33431,0.345513
1743096928.3590271,0.00788134,0.4,0,2032.56,-0.000488281,94,1,0,1,942.478,-0.00991925,0.0509417,-0.000626396,0.334349,0.345508
1743096928.3803084,0.00782126,0.42,0,2032.56,-0.000488281,94,1,0,1,942.478,-0.0101971,0.0483597,-0.00063486,0.334387,0.345501
1743096928.4022412,0.00775879,0.44,0,2032.56,-0.000488281,94,1,0,1,942.478,-0.0101315,0.0507365,-0.000629967,0.334426,0.345496
1743096928.415842,0.00769823,0.46,0,2032.56,-0.000488281,94,1,0,1,942.478,-0.0103646,0.0481169,-0.000631239,0.334465,0.34549
1743096928.4394948,0.00763624,0.48,0,2032.56,-0.000488281,94,1,0,1,942.478,-0.0103483,0.0505121,-0.000632448,0.334502,0.345484
1743096928.4580595,0.00762146,0.502,0,2032.56,-0.000610352,94,1,0,1,942.478,-0.010381,0.0491738,-0.000610941,0.334544,0.345478
1743096928.4797852,0.00745934,0.522,0,2032.56,-0.000610352,94,1,0,1,942.478,-0.0103206,0.0488748,-0.000633518,0.334581,0.345472
1743096928.5011134,0.00750082,0.542,0,2032.56,-0.000610352,94,1,0,1,942.478,-0.0102908,0.0490633,-0.00062336,0.334618,0.345467
1743096928.5191867,0.0073387,0.562,0,2032.56,-0.000610352,94,1,0,1,942.478,-0.0102545,0.0488652,-0.000654275,0.334657,0.345461
1743096928.5374951,0.00738018,0.582,0,2032.56,-0.000610352,94,1,0,1,942.478,-0.010375,0.0491148,-0.000621835,0.334693,0.345456
1743096928.5574973,0.00721806,0.602,0,2032.56,-0.000610352,94,1,0,1,942.478,-0.0101777,0.0488799,-0.000614371,0.334731,0.34545
1743096928.5786889,0.00726097,0.622,0,2032.56,-0.000732422,94,1,0,1,942.478,-0.0102807,0.0489758,-0.000617032,0.334769,0.345444
1743096928.598656,0.00709933,0.642,0,2032.56,-0.000732422,94,1,0,1,942.478,-0.0101148,0.0486334,-0.000632464,0.334806,0.345439
1743096928.6187491,0.0071432,0.662,0,2032.56,-0.000732422,94,1,0,1,942.478,-0.0103856,0.0486903,-0.000598206,0.334844,0.345433
1743096928.6385944,0.0069825,0.682,0,2032.56,-0.000732422,94,1,0,1,942.478,-0.0102552,0.0483835,-0.000630467,0.334882,0.345428
1743096928.659154,0.00702637,0.702,0,2032.56,-0.000854492,94,1,0,1,942.478,-0.0102782,0.0484651,-0.000582135,0.334919,0.345422
1743096928.6792028,0.00686711,0.722,0,2032.56,-0.000854492,94,1,0,1,942.478,-0.0100587,0.0481634,-0.00063716,0.334957,0.345416
1743096928.6988423,0.00691241,0.742,0,2032.56,-0.000854492,94,1,0,1,942.478,-0.0100663,0.0482334,-0.000602216,0.334993,0.345411
